player_id,player,team,league,fifa_edition,update
212831,Alisson Ramses Becker,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
264298,Conor Bradley,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
237678,Ibrahima Konaté,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
203376,Virgil van Dijk,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
260908,Milos Kerkez,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
246104,Ryan Gravenberch,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
239837,Alexis Mac Allister,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
209331,Mohamed Salah,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
242516,Cody Gakpo,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
236772,Dominik Szoboszlai,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
257289,Hugo Ekitiké,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
235805,Federico Chiesa,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
242434,Curtis Jones,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
232487,Wataru Endo,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
253149,Jeremie Frimpong,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
216267,Andrew Robertson,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
225100,Joe Gomez,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
262621,Giorgi Mamardashvili,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
256630,Florian Wirtz,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
233731,Alexander Isak,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
80376,Rio Ngumoha,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
279128,Trey Nyoni,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
222514,Freddie Woodman,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
271975,Stefan Bajcetic Maquieira,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
252897,Calvin Ramsay,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
79922,Ármin Pécsi,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
247601,Rhys Williams,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
70824,Giovanni Leoni,Liverpool,ENG-Premier League,FC 26,"Nov 5, 2025"
220901,David Raya Martin,Arsenal,ENG-Premier League,FC 26,"Nov 5, 2025"
